Date,Forecast,Lower_CI_95,Upper_CI_95,CI_Width
2025-01-13 09:00:00,4112.663425302065,1693.2601868877168,6532.066663716412,4838.806476828695
2025-01-13 10:00:00,4113.033408689496,1693.5194724714556,6532.547344907537,4839.027872436081
2025-01-13 11:00:00,4113.403237909575,1693.7787011794394,6533.027774639711,4839.2490734602725
2025-01-13 12:00:00,4113.772913026543,1694.0378729857302,6533.5079530673565,4839.470080081626
2025-01-13 13:00:00,4114.142434104612,1694.2969878644494,6533.9878803447755,4839.6908924803265
2025-01-13 14:00:00,4114.511801207967,1694.5560457897836,6534.467556626151,4839.911510836368
2025-01-13 15:00:00,4114.881014400768,1694.8150467359865,6534.94698206555,4840.131935329564
2025-01-13 16:00:00,4115.250073747148,1695.0739906773802,6535.426156816917,4840.352166139537
2025-01-13 17:00:00,4115.618979311213,1695.3328775883533,6535.905081034072,4840.572203445719
2025-01-13 18:00:00,4115.98773115704,1695.5917074433532,6536.383754870727,4840.792047427374
2025-01-13 19:00:00,4116.356329348685,1695.8504802168945,6536.862178480475,4841.011698263581
2025-01-13 20:00:00,4116.724773950171,1696.1091958835518,6537.34035201679,4841.231156133239
2025-01-13 21:00:00,4117.093065025498,1696.3678544179688,6537.818275633026,4841.450421215057
2025-01-13 22:00:00,4117.4612026386385,1696.6264557948552,6538.295949482422,4841.6694936875665
2025-01-13 23:00:00,4117.829186853537,1696.8849999889835,6538.773373718091,4841.888373729107
2025-01-14 00:00:00,4118.1970177341145,1697.143486975201,6539.250548493028,4842.107061517827
2025-01-14 01:00:00,4118.564695344262,1697.4019167284087,6539.727473960115,4842.325557231707
2025-01-14 02:00:00,4118.932219747847,1697.6602892235728,6540.20415027212,4842.543861048547
2025-01-14 03:00:00,4119.299591008707,1697.9186044357143,6540.680577581699,4842.761973145985
2025-01-14 04:00:00,4119.666809190655,1698.176862339923,6541.156756041387,4842.979893701464
2025-01-14 05:00:00,4120.0338743574775,1698.4350629113546,6541.632685803601,4843.197622892247
2025-01-14 06:00:00,4120.400786572934,1698.6932061252323,6542.108367020635,4843.4151608954035
2025-01-14 07:00:00,4120.767545900757,1698.9512919568424,6542.583799844671,4843.632507887829
2025-01-14 08:00:00,4121.134152404652,1699.2093203815316,6543.058984427773,4843.849664046242
2025-01-14 09:00:00,4121.5006061483,1699.4672913747186,6543.533920921882,4844.066629547164
2025-01-14 10:00:00,4121.8669071953545,1699.7252049118829,6544.008609478826,4844.283404566942
2025-01-14 11:00:00,4122.23305560944,1699.983060968561,6544.483050250319,4844.499989281758
2025-01-14 12:00:00,4122.59905145416,1700.2408595203538,6544.957243387966,4844.7163838676115
2025-01-14 13:00:00,4122.9648947930855,1700.4986005429246,6545.431189043246,4844.932588500322
2025-01-14 14:00:00,4123.330585689765,1700.7562840120013,6545.904887367529,4845.148603355528
2025-01-14 15:00:00,4123.69612420772,1701.0139099033736,6546.378338512066,4845.364428608693
2025-01-14 16:00:00,4124.061510410443,1701.2714781928917,6546.851542627994,4845.580064435102
2025-01-14 17:00:00,4124.426744361403,1701.5289888564726,6547.324499866332,4845.795511009859
2025-01-14 18:00:00,4124.791826124039,1701.7864418701006,6547.7972103779775,4846.0107685078765
2025-01-14 19:00:00,4125.15675576177,1702.0438372098238,6548.269674313717,4846.225837103893
2025-01-14 20:00:00,4125.521533337982,1702.3011748517401,6548.741891824224,4846.440716972484
2025-01-14 21:00:00,4125.886158916037,1702.558454772011,6549.213863060063,4846.655408288052
2025-01-14 22:00:00,4126.250632559271,1702.8156769468646,6549.685588171678,4846.869911224814
2025-01-14 23:00:00,4126.614954330993,1703.0728413525935,6550.157067309392,4847.084225956798
2025-01-15 00:00:00,4126.9791242944875,1703.3299479655561,6550.628300623419,4847.298352657863
2025-01-15 01:00:00,4127.34314251301,1703.5869967621725,6551.0992882638475,4847.512291501675
2025-01-15 02:00:00,4127.70700904979,1703.8439877189207,6551.570030380659,4847.726042661738
2025-01-15 03:00:00,4128.070723968032,1704.1009208123337,6552.0405271237305,4847.939606311396
2025-01-15 04:00:00,4128.434287330914,1704.3577960190023,6552.510778642826,4848.152982623824
2025-01-15 05:00:00,4128.7976992015865,1704.6146133155858,6552.980785087588,4848.366171772002
2025-01-15 06:00:00,4129.160959643174,1704.871372678811,6553.450546607536,4848.579173928725
2025-01-15 07:00:00,4129.524068718776,1705.1280740854722,6553.9200633520795,4848.791989266607
2025-01-15 08:00:00,4129.887026491465,1705.3847175124192,6554.389335470511,4849.004617958091
2025-01-15 09:00:00,4130.249833024285,1705.6413029365535,6554.858363112016,4849.217060175462
2025-01-15 10:00:00,4130.612488380259,1705.8978303348345,6555.327146425683,4849.429316090849
2025-01-15 11:00:00,4130.974992622378,1706.1542996842913,6555.795685560464,4849.641385876173
2025-01-15 12:00:00,4131.337345813609,1706.4107109620177,6556.2639806652005,4849.853269703182
2025-01-15 13:00:00,4131.699548016895,1706.667064145172,6556.732031888619,4850.064967743447
2025-01-15 14:00:00,4132.061599295149,1706.9233592109645,6557.199839379333,4850.276480168368
2025-01-15 15:00:00,4132.42349971126,1707.179596136666,6557.667403285854,4850.487807149188
2025-01-15 16:00:00,4132.78524932809,1707.4357748996094,6558.13472375657,4850.69894885696
2025-01-15 17:00:00,4133.146848208475,1707.6918954771886,6558.601800939761,4850.909905462573
2025-01-15 18:00:00,4133.508296415225,1707.9479578468558,6559.068634983594,4851.120677136738
2025-01-15 19:00:00,4133.869594011126,1708.2039619861284,6559.535226036123,4851.331264049995
2025-01-15 20:00:00,4134.230741058932,1708.4599078725819,6560.0015742452815,4851.541666372699
